product,brand,manufacturer,vendor,pack_size_raw,class,latest_price_per_case_usd,case_price_delta_pct,price_per_lb_delta_pct,total_spend_usd,est_units_per_case,est_unit_size,est_uom,est_case_weight_lb,est_dimension,est_price_per_lb_usd,flags
OVENGOLD TURKEY,,,Delmar Provisions,,,58.48,+0.8%,-0.0%,7913.31,,,,,,,NO_PACK_SIZE|BROKER_DIRECT
MAYO HD,DUKES,SAUER BRANDS,PFG,4/1 GA,MAYO/DRESSINGS/DIPS/MIXES,73.99,,,5771.22,4,1,GA,,volume,,
OIL OLIVE 100% EXTRA VIRGIN,ASSOLUTI,REMA FOODS INC,PFG,3/3 LT,OILS & SHORTENINGS,93.72,,+0.0%,3534.0,3,3,LT,,volume,,
LONDON BROIL,,,Delmar Provisions,,,62.45,+0.9%,-0.0%,2650.38,,,,,,,NO_PACK_SIZE|BROKER_DIRECT
HAM 35% WATER FC 4X6 TFF,ROMA,AL & JOHN INC,PFG,1/13 LB,DELI/COOKED MEATS REFRIG,36.06,-0.6%,-0.6%,2164.94,1,13,LB,13.0,weight,2.7738,
MILD PROVOLONE,,,Delmar Provisions,,,19.2,-0.1%,+0.0%,2073.66,,,,,,,NO_PACK_SIZE|BROKER_DIRECT
LETTUCE ICEBERG LINER,PEAK FRS,ARMSTRONG MARKETING,PFG,24/1 CT,VEGETABLES FRESH,31.58,-4.1%,-4.1%,1389.64,24,1,CT,,count,,
CHEESE MOZZ 1OZ SLCD LOG 32 CT,ROMA,BELGIOIOSO CHEESE INC,PFG,6/2 LB,CHEESE,47.1,,,1365.9,6,2,LB,12.0,weight,3.925,
DILANDRI GENOA SALAME,,,Delmar Provisions,,,28.81,+0.7%,+0.0%,1357.22,,,,,,,NO_PACK_SIZE|BROKER_DIRECT
BEEF GRND BULK 80/20,WEST CRK,PLYMOUTH BEEF CO INC,PFG,2/5 LB,BEEF FRESH,49.2,,,1180.8,2,5,LB,10.0,weight,4.92,
HOT BUTT CAPPY,,,Delmar Provisions,,,19.59,+0.0%,-0.0%,1174.69,,,,,,,NO_PACK_SIZE|BROKER_DIRECT
ARUGULA BABY,PACKER,ARMSTRONG MARKETING,PFG,2/2 LB,VEGETABLES FRESH,20.67,+13.8%,+13.8%,1132.9,2,2,LB,4.0,weight,5.1675,
"Lettuce, Iceberg Cleaned & Trimmed Fresh Ref",Cross Valley Farms,Cross Valley Farms,US Foods,4/6 EA,"Produce, Fresh (25)",35.49,,,1050.15,4,6,EA,,count,,
BAG PAPER KRAFT SHOPPER BISTRO,FRST MRK,DURO HILEX POLY LLC,PFG,250/1 CT,BAGS/WRAPS/FILTERS,61.34,,,963.24,250,1,CT,,count,,
PICKLES CHIPS 1/4,,,Delmar Provisions,,,35.95,,-0.0%,826.85,,,,,,,NO_PACK_SIZE|BROKER_DIRECT
"Bag, Shopping 10x6.75x12 Paper Kraft Brown W/ Handle Carry-Out",Monogram,Monogram,US Foods,250 EA,Disposables (24),61.29,-9.4%,-9.4%,801.09,1,250,EA,,count,,
TOMATO 5X6,PEAK FRS,RUBY ROBINSON PETE PAPPAS,PFG,1/25 LB,VEGETABLES FRESH,33.14,-4.8%,-4.8%,732.44,1,25,LB,25.0,weight,1.3256,
IMP LAYER BACON 12/14,,,Delmar Provisions,,,70.35,,+0.0%,633.15,,,,,,,NO_PACK_SIZE|BROKER_DIRECT
"Mayonnaise, Heavy Plastic Shelf Stable",Dukes,Sauer Brands Inc,US Foods,4/1 GA,"Grocery, Dry (22)",79.89,,,584.33,4,1,GA,,volume,,
ONION YLW COLOSSAL BAG,PEAK,EAGLE EYE PRODUCE INC,PFG,1/50 LB,VEGETABLES FRESH,34.35,+6.0%,+6.0%,578.95,1,50,LB,50.0,weight,0.687,
"Juice, Lemonade Drink 22% Natural Ss Plastic Bottle Ref",Natalie's,Orchid Island Juice Company,US Foods,6/12 OZ,Beverage (16),13.41,,,522.99,6,12,OZ,4.5,weight,2.98,
DIET COKE,,,Delmar Provisions,,,25.45,,,509.0,,,,,,,NO_PACK_SIZE|BROKER_DIRECT
HOT CHERRY PEPPERS,,,Delmar Provisions,,,8.95,,,501.2,,,,,,,NO_PACK_SIZE|BROKER_DIRECT
PORK GRND 80/20 ALL NAT FZ,WEST CRK,IPAP CALUMET DIVERSIFIED,PFG,2/5 LB,PORK FROZEN,23.9,,,433.98,2,5,LB,10.0,weight,2.39,
JUICE LEMONADE NAT,NATALIES,ORCHID ISLAND JUICE CO,PFG,6/12 OZ,BEVERAGE REFRIG,10.63,,,425.2,6,12,OZ,4.5,weight,2.3622,
CHEESE MOZZ LMWM SHRED,GPREMIO,LACTALIS CULINARY FRSH,PFG,6/5 LB,CHEESE,85.14,-1.8%,-1.8%,413.51,6,5,LB,30.0,weight,2.838,
JUICE LEMON ALL NAT,NATALIES,ORCHID ISLAND JUICE CO,PFG,6/32 OZ,BEVERAGE REFRIG,32.7,,+0.0%,392.4,6,32,OZ,12.0,weight,2.725,
Food Service Prosciutto,,,Delmar Provisions,,,12.95,,-0.0%,388.5,,,,,,,NO_PACK_SIZE|BROKER_DIRECT
COKE,,,Delmar Provisions,,,25.45,,+0.0%,381.75,,,,,,,NO_PACK_SIZE|BROKER_DIRECT
TUNA CHNK LIGHT CHN,WRLDDCK,REMA FOODS INC,PFG,6/66.5OZ,SEAFOOD CANNED/DRY,71.91,,,359.55,6,66.5,OZ,24.9375,weight,2.8836,
"Glove, Latex Medium Powder-Free Natural Imported Thailand Ambidextrous",Monogram,Monogram,US Foods,10/100 EA,Disposables (24),83.7,+30.0%,+30.0%,355.43,10,100,EA,,count,,
"Arugula, Baby Cleaned Loose Leaf Wild Fresh Ref Bag",Cross Valley Farms,Cross Valley Farms,US Foods,2/2 LB,"Produce, Fresh (25)",19.69,,,334.73,2,2,LB,4.0,weight,4.9225,
EVERROAST CHICKEN,,,Delmar Provisions,,,27.69,-0.3%,-0.0%,333.28,,,,,,,NO_PACK_SIZE|BROKER_DIRECT
Pepperoni Slicing,,,Delmar Provisions,,,17.79,-0.4%,-0.5%,322.06,,,,,,,NO_PACK_SIZE|BROKER_DIRECT
GARLIC WHL PLD DOM,PEAK FRS,ARMSTRONG MARKETING,PFG,1/5 LB,HERBS FRESH,19.72,+2.5%,+2.5%,321.59,1,5,LB,5.0,weight,3.944,
