Produce,Code,Vendor,Price,,Unit,Cost,,
Arugula,,baldor,$17.91,48,oz,$0.37,per oz,
Basil,,baldor,$10.34,16,oz,$0.65,per oz,
Hydro Bib,LET3AAA,Baldor,$1.72,14,ea,$0.12,ea,
Corn (frozen),,baldor,,,,,,
CHives,,Baldor,$5.50,4,oz,$1.38,per oz,
Cornichon,,baldor,$16.99,176,oz,$0.10,per oz,
Celery,,US food ,$28.99,96,oz,$0.30,per oz,
Cucumber,,Baldor,$14.90,158,oz,$0.09,per oz,
Dill,,baldor,$4.50,4,oz,$1.13,per oz,
Garlic,,Baldor,$18.54,80,oz,$0.23,per oz,
Mushrooms (Oyster),,Baldor,$30.25,80,oz,$0.38,per oz,
Iceberg,,US foods,$47.51,640,oz,$0.07,per oz,
Lemon Juice,,US foods,$33.05,202.86,oz,$0.16,per oz,
Onion (red),,Baldor,$11.05,160,oz,$0.07,per oz,
Onion (White),,Baldor,$28.85,800,oz,$0.04,per oz,
Parsley,,Baldor,$12.05,16,oz,$0.75,per oz,
Peppers (Hot),,BH,$35.59,64,oz,$0.56,per oz,
Peppers (Sweet),,BH,$10.25,96,oz,$0.11,per oz,
Peppers (Banana),,baldor,$7.90,96,oz,$0.08,per oz,
Pickles,,BH,$32.95,45,ea,$0.73,ea,
Pickles (slices),,BH,$32.95,1500,ea,$0.02,ea,
Radish,,US food ,$0.70,6,oz,$0.12,per oz,
Thyme,,baldor,$6.00,4,oz,$1.50,,
tomato paste,,baldor,$10.70,111,oz,$0.10,per oz,
Tomatoes (Sun Dried),,baldor,$32.39,80,oz,$0.40,per oz,
Tomatoes,,US foods,$12.51,160,oz,$0.08,per oz,
Jersey Tomatoes,TO8J2,baldor,$50.00,400,oz,$0.13,per oz,oz accounting for waste
Meat,,,,,,,,
Bacon,,BH,$68.85,240,oz,$0.29,per oz,
Bacon Slab (Lardon),,BH,$25.00,66.72,oz,$0.37,per oz,oz accounting for shrinkage
Capicola,,BH,$4.89,16,oz,$0.31,per oz,
Chicken (Ever Roast),,BH,$5.99,16,oz,$0.37,per oz,
Chicken (Raw),,baldor,$118.79,640,oz,$0.19,per oz,
Corned Beef,,BH,$8.89,16,oz,$0.56,per oz,
hotdog,,baldor,$75.99,160,ea,$0.47,per oz,
Eggs (Raw),,baldor,$36.55,180,ea,$0.20,ea,
Eggs (cooked),,US foods,$52.13,180,oz,$0.29,per oz,
Genoa,,BH,$3.79,16,oz,$0.24,per oz,
Ground Beef,,baldor,$49.00,160,oz,$0.31,per oz,-$0.02
Ground Pork,,baldor,$16.90,80,oz,$0.21,per oz,-$0.07
Ham,,US foods,$2.72,16,oz,$0.17,per oz,$2.72
Mortadella,,BH,$4.29,16,oz,$0.27,per oz,
"Smoked Ham (""Jambon"")",,baldor,$9.99,16,oz,$0.62,per oz,
Pepperoni,,BH,$4.25,16,oz,$0.27,per oz,
Proscuitto,,BH,$10.95,12,oz,$0.91,per oz,
Roast Beef,,BH,$6.66,16,oz,$0.42,per oz,
Tuna,,baldor,$10.70,66.6,oz,$0.16,per oz,
Turkey,,BH,$6.29,16,oz,$0.39,per oz,
Dairy,,,,,,,,
American Cheese,,baldor,$17.59,80,oz,$0.22,,
Butter,,baldor,$4.72,16,oz,$0.30,per oz,
Cheddar,,US foods,$4.26,16,oz,$0.27,per oz,
Cream Cheese,,baldor,$7.11,48,oz,$0.15,per oz,
Heavy Cream,DAMILK8cs,baldor,$44.46,384,oz,$0.12,per oz,
Milk Whole,,baldor,$4.81,64,oz,$0.08,per oz,
Mozzarella,,US foods,$28.00,72,pc,$0.39,ea,
Pecorino (grated),,baldor,$21.40,80,oz,$0.27,per oz,
Provolone,,BH,$3.04,16,oz,$0.19,per oz,
Ricotta,,saval,$25.06,160,oz,$0.16,per oz,
SHredded Mozz,DACHEESE4AB,,$15.00,80,oz,$0.19,per oz,
Sour Cream,,b,$8.75,80,oz,$0.11,per oz,
Dry Goods,,,,,,,,
Apple Vin,,b,$13.39,169.07,oz,$0.08,per oz,
Balsamic Vin,,b,$15.65,169.07,oz,$0.09,per oz,
Bay :eaves,,,$4.10,1,oz,$4.10,per oz,
Black Pepper,,b,$20.65,16,oz,$1.29,per oz,
Canned Tomatoes,,b,$1.60,28,oz,$0.06,per oz,
"Cannoli Shell 3""",,b,$57.70,200,ea,$0.29,ea,
CHili Flake,,b/s,$19.25,64,oz,$0.30,per oz,
CHolula Hot S,,b,$17.85,64,oz,$0.28,per oz,
Confectioners Sugar,,b,$1.61,16,oz,$0.10,per oz,
Cornbread Mix (Jiffy),,b,$0.89,1,ea,$0.89,ea,
Cranberry Sauce,,amazon,$2.99,14,oz,$0.21,per oz,
Dried Chives,,b,$3.95,2,oz,$1.98,per oz,
Dried Parsley,,b,$3.35,2,oz,$1.68,per oz,
Duke's Mayo,,US food ,$18.50,128,oz,$0.14,per oz,
Duke's Mayo (Vegan),,Saval,,,,,,
Flour,,b,$24.05,400,oz,$0.06,per oz,
Fruit Pebbles,,,$2.99,11,oz,$0.27,per oz,
Garlic Powder,,b,$20.65,80,,$0.26,per oz,
Grapeseed Oil,,b,$19.49,101,oz,$0.19,per oz,
Honey,,b,$15.40,80,oz,$0.19,per oz,
Horseradish,,b,$16.42,128,oz,$0.13,per oz,
Ketchup,,b,$7.48,114,oz,$0.07,,
Mustard (Dijon),,b,$30.10,176,oz,$0.17,per oz,
Mustard (Whole),,b,$25.85,176,oz,$0.15,per oz,
Mustard (Yellow),,baldor,$9.41,105,oz,$0.09,per oz,
Mustard Seed,,b,$4.90,16,oz,$0.31,,
Old Bay,,b,$15.85,24,oz,$0.66,per oz,
Olive Oil,,US food ,$30.86,101.43,oz,$0.30,per oz,
Onion Powder,,b,$5.26,16,oz,$0.33,per oz,
Onion Soup Miz,,Grocery,$2.79,2,oz,$1.40,,
Onion Roll,,Cardinal,$4.58,12,oz,$0.38,ea,
Oregano,,b/s,$11.05,20,oz,$0.55,per oz,
Ranch Packet,,safeway,$2.00,1,oz,$2.00,per oz,
Stock (Turkey),,b,$5.35,32,oz,$0.17,per oz,
"Pasta, Rotini",,US food ,$1.24,16,oz,$0.08,per oz,
Panko (Japanese),,b,$29.05,320,oz,$0.09,per oz,
Red Wine Vin,,b,$13.39,169.07,oz,$0.08,per oz,
Roasted Red Pepper,,,$45.15,612,oz,$0.07,per oz,
Rice Vin,,b,$11.33,128,oz,$0.09,per oz,
White Vin,,,$4.43,128,oz,$0.03,per oz,
Salt,,b,$7.80,48,oz,$0.16,per oz,
Sugar (White),,,$4.66,64,oz,$0.07,per oz,
Black Pepper,,b,$18.29,16,oz,$1.14,per oz,
Tomato Paste,,b,$64.25,1626,oz,$0.04,per oz,
Tomatoes Sun Dried,,,$31.56,80,oz,$0.39,per oz,
Tomatoes Crushed (10#),,US food ,$34.65,1626,oz,$0.02,per oz,
Utz Chips,,,$3.60,7.75,oz,$0.46,per oz,
Utz Chips (mini),,,$24.00,60,ea,$0.40,ea,
Vanilla Bean Paste,,,$54.80,32,oz,$1.71,per oz,
Worcestershire ,,b,$31.79,128,oz,$0.25,per oz,
Bev's,,,,,,,,
Topo Chico,,baldor,$31.10,24,ea,,,
Natalie's Lemonade,,baldor,$11.05,6,ea,$1.84,ea,
Cold Brew,,,,,,,,
Coke/Diet Coke,,BH,$23.95,35,ea,$0.68,ea,
Deer Park,,,,,,,,
Dr. Brown's,,BH,$14.87,24,ea,$0.62,ea,
Franzia,,,$15.05,169.06,oz,$0.09,per oz,
Sub Roll,,Cardinal,$0.70,1,ea,$0.70,ea,
Bahn Mi Roll,,Cardinal,$0.49,1,ea,$0.49,,
Baguette,,Cardinal,$3.85,20,inches,$0.19,ea,
Hotdog Bun Potato,,Option 1,$55.20,144,ea,$0.38,ea,
Hotdog To-GO,,us foods,$34.22,500,ea,$0.07,ea,
Cap Jill Baguette,,,$2.50,1,ea,$2.50,ea,
CO Branded Water,,Boar's Head,$12.95,24,ea,$0.54,ea,
Rye,,,$29.00,20,ea,$1.45,,
Misc,,,,,,,,
BRP Box (catering),,,$82.00,100,ea,$0.82,ea,
