                                                   ,,,,,,,,,,
,"    US Foods, Baldor, PFG, Trimark (2 day order Cycle)",,,,,,,,,
,,,,,,,,,,
Item,Item Number #,Pars,Order,Vendor,,Item,Item Number #,Pars,Order,Vendor
Produce,,,,,,Dry Goods,,,,
Arugula,242470,3 cs,,PFG,,Chili Flake,264698,1 qt,,PFG
Basil,23097,1 lb,,PFG,,Balsamic Vin,233067,.25 jug,,PFG
Celery,865009,3 ea,,PFG,,Balsamic Glaze,434904,.5 bottle,,PFG
Chives,855552,4 oz.,,PFG,,Red wine vinegar,434903,.25 Jug,,PFG
Cucumber,23280,7 ea,,PFG,,Black peppercorn,628204,1 qt,,PFG
Garlic,283987,.75 Jar,,PFG,,Cannoli Shell,232056,1 layer,,PFG
Iceberg,ICE1/5326426,4 cases,,PFG ,,Cholula,SAUCE6B,.5 bottle,,Baldor
Lemon Juice,495063,3 LT,,PFG,,Confectioners Sugar,913783,2 Boxes,,PFG
Onion (red),907425,5 ea,,PFG,,Dried Chives,Fresh chives,,,n/a
Onion (White),898641,.5 - 50lb bag,,PFG,,Duke's Mayo,32118,3 cs,,PFG
Parsley,310169,1 ea,,PFG,,Honey,1014474,.5 bottle,,PFG
Watermelon Radish,299885,3 Bags,,PFG,,Horseradish,490122,.25 Jar,,PFG
Tomatoes,878065,.5 - 25lb cs,,PFG,,Mustard (Dijon),800233,.25 bckt,,PFG
Thyme,855509,2 oz,,PFG,,Mustard (Whole),804091,.25 bckt,,PFG
Dairy,,,,,,Onion Powder,326558,1 qt,,PFG
Ricotta,138065,1/2 tub,,PFG,,Old Bay,242869,.25 bottle,,PFG
Shredded Mozz,1715,1 bag,,PFG,,Olive Oil,247551,3 jugs,,PFG
Cheddar,328716,.25 block,,PFG,,Oregano,261432,.25 container,,PFG
Butter,1051772,4 lbs,,PFG,,Garlic Powder,615777,.25 container,,PFG
Heavy Cream,199406,6 ea,,PFG,,Panko (Japanese),32728,4 qt,,PFG
Fresh Mozzarella,397845,12 pieces (2cs),,PFG,,Salt,804708,1 box,,PFG
Sour Cream,247189,1 bucket,,PFG,,Roasted Red Peppers,231908,1 #10 Can,,PFG
Parmesan (Grated),232190,1.5 qt,,PFG,,Tomatoes Crushed (10#),844771,3 #10 Can,,PFG
Eggs,439686,2 flats,,PFG,,Tomato Paste,231869,1 #10 can,,PFG
Eggs (cooked),439686,48 eggs (4 pks),,PFG,,Grapeseed Oil,61548,.25 bottle,,PFG
Packaging Supplies,,,,,,Fusilli Pasta,402242,2 LB,,PFG
Kraft 10x5x13 (Small Bags),228833,1 cs,,PFG,,Canola Oil,589183,.25 Conatainer,,PFG
Kraft 12x9x13 (Large Bags),228850,1 cs,,PFG,,Gluten Free Bread,N/A,14 each,,Sarah
Quart (Large),Webstaurant,2 sleeves,,webstaurant,,Meat,,,,
Pint (Medium),271805,2 sleeves,,PFG,,Tuna,SEA2,3 ea,,PFG
Half Pint 8oz (hard),271779,4 sleeves,,PFG,,Ground Beef,284013,2 ea,,PFG
1/2 pint top (flexi),870550,5 sleeves,,PFG,,Ground Pork,474569,2 ea,,PFG
1/2 pint bottoms (flexi),870550,,,PFG,,Ham,231710,3 ea,,PFG
2 oz portion cups,869846,2 sleeves,,PFG,,Chicken Breast,411736,1 10lb bag,,PFG
2 oz portion cup lids,870041,2 sleeves,,PFG,,Beverage,,,,
Plastic forks,230367,.25 cs,,PFG,,Saratoga,1292481,.75 cs,,PFG
Plastic Spoons,230474,.25 cs,,PFG,,Natalie's Lemonade,1020546,2 cs,,PFG
Plastic Knives,230410,.25 cs,,PFG,,Employee Water,5488748,1 case,,PFG
"Plates 8""",237730,.25 cs,,PFG,,Trimark,,,,
Patty Paper ,N/A,4 pks,,PFG,,Butcher Paper,N/A,3 stacks ,,TRIMARK
Paper Deli Sheets (Wax Paper),427652,1 full pack,,PFG,,Fancy Napkins ,N/A,.5 cs,,TRIMARK
Foil Pick up sheets,240314,1/2 box,,PFG,,Trash Liners 40x46,N/A,.5 cs,,TRIMARK
Foil roll,240288,.25 roll,,PFG,,Plastic Wraop,N/A,1 roll,,TRIMARK
Round Salad Bowls & Lids,146809,.25 cs,,PFG,,Multi Cleaner (Kitchen Citrus #8),N/A,2 each,,TRIMARK
Salad Clam Shell (55oz),228496,.25 cs,,PFG,,EZ Dry gallons,N/A,2 each,,TRIMARK
Aluminum Full Pan Lid (Catering),8900MON,.25 cs,,PFG,,Checkmate gallons (dupont only),N/A,2 each,,TRIMARK
Aluminum Full Pan (Catering),N/A,.25 cs,,PFG,,Formula C gallons,N/A,2 each,,TRIMARK
Gloves Medium ,240782,3 pks each,,PFG,,Solid Suds (cap hill only),N/A,2 each,,TRIMARK
Gloves Large,265693,3 pks each,,PFG,,Pot & Pan Sanitizer,N/A,2 each,,TRIMARK
Gloves Extra Large,240767,3 pks each,,PFG,,Bleach Gallons,N/A,2 each,,TRIMARK
C- Fold napkins,158802,4 pks,,PFG,,Foam Soap ,N/A,3 each,,TRIMARK
Reciept Paper (thermal),1011935,4 rolls,,PFG,,,,,,
