Sandwich,Ingredient,Quantity,Unit,,Sandwich,Ingredient,Quantity,Unit
Crunchy Boi,Aioli,1.5,oz,,Teamster,Ham,3,ea
,Utz Ripples,Handfull,,,,Capicola,3,ea
,Provolone,2,ea,,,Genoa,4,ea
,Turkey,4,oz,,,Provolone,2,ea
,Onions,0.25,oz,,,Onions,0.25,oz
,Pickles,0.5,oz,,,Sweet Peppers,0.75,oz
,Shredduce,Handfull,,,,Hot Peppers,0.25,oz
,Oil/Vin,0.25,oz,,,Shredduce,Handfull,
,Oregano,0.1,oz,,,Oil/Vin,0.25,oz
,,,,,,Oregano,0.1,oz
,,,,,,,,
Sandwich,Ingredient,Quantity,Unit,,Sandwich,Ingredient,Quantity,Unit
Hot Pants,Capicola,3,ea,,Frex,Ham,3,ea
,Pepperoni,5,ea,,,Capicola,3,ea
,Genoa,4,ea,,,Genoa,4,ea
,Provolone,2,ea,,,Pepperoni,5,ea
,Onions,0.25,oz,,,Proscuitto ,2,ea
,Sweet Peppers,0.74,oz,,,Fresh Mozz,3,ea
,Hot Peppers,0.25,oz,,,Hot Peppers,0.5,oz
,Arugula,1/2 Handfull,,,,Argula,1/2 Hanfdull,
,Shredduce,Handfull,,,,Oil/Vin,0.25,
,Oil/Vin,0.25,oz,,,Balsamin,0.1,oz
,Oregano,0.1,oz,,,Oregano,0.1,oz
,,,,,,,,
,,,,,,,,
Sandwich,Ingredient,Quantity,Unit,,Sandwich,Ingredient,Quantity,Unit
Farmers Market,Gree Goddess,0.5,0z,,Marisa Tomei,Honey Chili Aioli,1,oz
,Cucumbers,3,ea,,,Capicola,3,ea
,Onion,0.25,oz,,,Genoa,7,ea
,Sweet Peppers,0.75,oz,,,Fresh Mozz,3,ea
,Hot Peppers,0.25,oz,,,Arugula Salad:,,
,Arugula,1/2 Handfull,,,,Arugula ,Half Handfull,
,Shredduce,Handfull,,,,Basil,4 leaves,
,Oil/Vin,0.25,oz,,,Onion,0.1,oz
,Oregano,0.1,oz,,,Chili/Oregano,0.1,oz
,,,,,,Oil/Vin,0.1,oz
,,,,,,,,
Sandwich,Ingredient,Quantity,Unit,,Sandwich,Ingredient,Quantity,Unit
Never Been Cheddar,Mustard Aioli,1,oz,,Turkey Ceasar,Toasted Bread:,,
,Roast Beef,5,oz,,,with compound butter,,
,Cheddar,2,ea,,,Caesar Salad:,,
,Radish Salad:,,,,,Large dice romane,Handfull,
,Arugula,Half Handfull,,,,Turkey,1 portion,
,Radish,4 Julliened,,,,Caesar Dressing,2oz,
,Salt,pinch,,,,Top with:,,
,Oregano,0.1,oz,,,Parmasean,,
,Lemon Oil,0.1,oz,,,Black Pepper,,
,,,,,,,,
Sandwich,Ingredient,Quantity,Unit,,Sandwich,Ingredient,Quantity,Unit
Sicky Wicky Club,Duke's Mayo,1,oz,,Vesuvio,Meatballs,3,ea (cut in half)
,Shredduce,Handful,,,,Vodka Sauce,2,ladles
,Onions,0.25,oz,,,Marinara Sauce,2,oz
,Tomatoes,3,ea,,,Bananna Peppers,2,oz
,Oil/Vin,0.25,oz,,,Shredded Cheese,Handfulls,2
,Oregano,0.1,oz,,,Oregano,0.1,oz
,Provolone,2,ea,,,,,
,Ham,2,ea,,,,,
,Turkey,2,oz,,,,,
,Bacon,2,ea,,,,,
,,,,,,,,
Sandwich,Ingredient,Quantity,Unit,,,,,
French Dip,Horsey Mayo,1.5,oz,,,,,
,Roast Beef,5,oz,,,,,
,Carmelized Onion,0.75,oz,,,,,
,Provolone,3,ea,,,,,
,Black Pepper,1,small pinch,,,,,
,Jus,1,ladle,,,,,
,Extra Thyme,1,big pinch,,,,,
