Smallwares Ordering,,,,
Item,Par,From,Item #,
Cleaning Supplies,,,,
Trash Liners 40x46,1/2 cs,Trimark,36050,
Glass Cleaner (glass cleaner #1),1 backup btl,Trimark,,
Floor Cleaner (Kitchen Citrus #8),1 btl,Trimark,21177,
Sani 512 gallons,1 gal,Trimark,20051,
Solar Green gallons,1 gal,Trimark,20034,
Formula C gallons,1 gal,Trimark,,
Bleach Gallons,1/2 gal,Trimark,20352,
Oven Cleaner,2 btls,US foods,,
Stainless Steel Scrubbies,6 pcs,webstaurant,,
Foam Soap for restrooms,1 pc,Trimark,,
Toilet Paper,12 rolls,amazon or costco,,
Solid Suds (cap hill only),3/4 container,Trimark,,
isopropyl alcohol spray,1/2 btl,amazon,,
,,,,
,,,,
Office-ish,,,,
Logo Tape,18 rolls,continental tape printers,6 wk lead time,Printed Custom Tape - Continental Tape Printers - Custom Printed Packaging Tape
Neon Green Tape,6 rolls,webstaurant,,
Register Rolls 3 1/8 thermal,6 rolls,webstaurant,,
Sharpies,6,amazon,,
guest check pads,4,webstaurant,,
Staples,2 boxes,amazon,,
Dry Erase Markers,6 pcs,amazon,,
Printer Ink,1 full of each color,amazon,,
Circle Label Stickers,3/4 lg box,amazon,,
Food-ish,,,,
Frooties,8 bags,email mason@pennycandy.com,,
fruity pebbles,1 qt,amazon,,
,,,,
Misc Items,,,,
Loyalty Cards,1 full box,Vistaprint,,
First Aid Items,as needed,webstaurant,,
,,,,
Kitchen Supplies,,,,
Bread Knives,2 backups,webstaurant,,
16 oz bottles,,webstaurant,,
32 oz bottles,,webstaurant,,
Bottle tops,,webstaurant,,
