Line Number,Group Name,Product Number,Product Description,Product Brand,Product Package Size,Customer Product Number,USF Class Description,Storage Description
"1","Unassigned Group","7662935","TRAY, PET PLASTIC SERVING 12 BLACK ROUND PLATTER CATERING                 ","MONOGRAM",36 EA       ,"","DISPOSABLES","DRY NONFOOD"
"2","Unassigned Group","7662968","TRAY, PET PLASTIC SERVING 16 BLACK ROUND PLATTER CATERING                 ","MONOGRAM",36 EA       ,"","DISPOSABLES","DRY NONFOOD"
"3","Unassigned Group","7663016","TRAY, PET PLASTIC SERVING 18 BLACK ROUND PLATTER CATERING                 ","MONOGRAM",36 EA       ,"","DISPOSABLES","DRY NONFOOD"
"4","Unassigned Group","7663958","LID, HIGH DOME TRAY 12 ROUND PET PLASTIC CLEAR                            ","MONOGRAM",36 EA       ,"","DISPOSABLES","DRY NONFOOD"
"5","Unassigned Group","7664139","LID, HIGH DOME TRAY 16 ROUND PET PLASTIC CLEAR                            ","MONOGRAM",36 EA       ,"","DISPOSABLES","DRY NONFOOD"
"6","Unassigned Group","7664154","LID, HIGH DOME TRAY 18 ROUND PET PLASTIC CLEAR                            ","MONOGRAM",36 EA       ,"","DISPOSABLES","DRY NONFOOD"
"7","Unassigned Group","7742039","CONTAINER, PAPER 26 OZ CATERING BOX KRAFT BROWN W/ WINDOW CARDBOARD CARRY-O","RESTAURANTWARE LLC",200 EA      ,"","DISPOSABLES","DRY NONFOOD"
"8","Unassigned Group","1596570","CONTAINER, PAPER 27 OZ CATERING BOX KRAFT BROWN SQUARE W/ WINDOW CARDBOARD ","RESTAURANTWARE LLC",200 EA      ,"","DISPOSABLES","DRY NONFOOD"
"9","Unassigned Group","4254020","CONTAINER, PAPER 6.5 CATERING BOX KRAFT BROWN INGENERO LUNCH CARRY-OUT    ","RESTAURANTWARE LLC",100 EA      ,"","DISPOSABLES","DRY NONFOOD"
"10","Unassigned Group","4601814","CONTAINER, PAPER BOARD CORRUGATED 13X10.88X3 CATERING BOX KRAFT WHITE F/ HA","ROYAL PAPER",50 EA       ,"","DISPOSABLES","DRY NONFOOD"
"11","Unassigned Group","4528319","LID, BOWL 12 OZ DOME PET PLASTIC CLEAR COVER","SMARTCHOICE",50/10 EA,"","DISPOSABLES","DRY NONFOOD"
"12","Unassigned Group","8355825","CONTAINER, BALSA WOOD 8X11X3 CATERING BOX NATURAL COLLAPSIBLE W/ FOLD BACK ","VERTERRA",50 EA       ,"","DISPOSABLES","DRY NONFOOD"
"13","Unassigned Group","6909495","CONTAINER, PAPER 34 OZ CATERING BOX KRAFT BROWN SQUARE W/ WINDOW CARDBOARD ","RESTAURANTWARE LLC",200 EA      ,"","DISPOSABLES","DRY NONFOOD"
"14","Unassigned Group","7955829","CONTAINER, PAPER 5.9X2.4X2 CATERING BOX WHITE SMALL RECTANGLE W/ WINDOW CAR","RESTAURANTWARE LLC",200 EA      ,"","DISPOSABLES","DRY NONFOOD"
"15","Unassigned Group","4886058","TRAY, PLASTIC SUSHI 10.25X7.5X2 BLACK RECTANGLE ROKU W/ LID COMBO CATERING ","RESTAURANTWARE LLC",100 EA      ,"","DISPOSABLES","DRY NONFOOD"
"16","Unassigned Group","2124686","TRAY, PLASTIC SUSHI 6.75X3.75X2 BLACK RECTANGLE ROKU W/ LID COMBO CATERING ","RESTAURANTWARE LLC",100 EA      ,"","DISPOSABLES","DRY NONFOOD"
"17","Unassigned Group","1053844","CONTAINER, 9X6.5 PAPERBOARD CATERING BOX FOLD TOP WHITE AUTO BOTTOM CARRY-O","MEYERPAK",100 EA,"","DISPOSABLES","DRY NONFOOD"
"18","Unassigned Group","9417634","CONTAINER, PAPER BOARD 9X5.93X3.07 CATERING BOX WHITE BASKETWEAVE STOCK PRI","PACTIV",150 EA      ,"","DISPOSABLES","DRY NONFOOD"
"19","Unassigned Group","8408151","CONTAINER, PAPER 96 OZ BEVERAGE CATERING BOX NATURAL BORDER FRONT CARRY-OUT","LBP MANUFACTURING",30 EA,"","DISPOSABLES","DRY NONFOOD"
"20","Unassigned Group","9394339","BAG, CATERING 18X7X24 PLASTIC CLEAR F/ PARTY TRAY","PAK-SHER",50 EA,"","DISPOSABLES","DRY NONFOOD"
"21","Unassigned Group","9971333","CONTAINER, PAPER 5.9X3.7X1.9 CATERING BOX KRAFT BROWN W/ WINDOW CARRY-OUT  ","PACKNWOOD",600 EA      ,"","DISPOSABLES","DRY NONFOOD"
"22","Unassigned Group","8810129","TRAY, PAPER BOARD CATERING 22X13.5X3.5 KRAFT BROWN W/ POP UP LID CARDBOARD","LBP MANUFACTURING",35 EA,"","DISPOSABLES","DRY NONFOOD"
"23","Unassigned Group","3035455","CONTAINER, 47 OZ NO 3 PAPER KRAFT BIO BOX 2 CMPT                           ","RESTAURANTWARE",200 EA      ,"","DISPOSABLES","DRY NONFOOD"
"24","Unassigned Group","4897296","BOX, TAKE OUT 60 OZ PAPER WHITE W/ WINDOW KRAY CONTAINER                   ","PACKNWOOD",200 EA      ,"","DISPOSABLES","DRY NONFOOD"
"25","Unassigned Group","6177216","BOX, CAKE 1/2 SHEET 19X14X4 CLAY COATED PAPER BOARD WHITE LOCK CORNER CARDB","SOUTHERN CHAMPION TRAY",50 EA       ,"","DISPOSABLES","DRY NONFOOD"
"26","Unassigned Group","863597","BOX, CAKE 1/4 SHEET 14X10X4 CLAY COATED PAPER BOARD WHITE LOCK CORNER CARDB","SOUTHERN CHAMPION TRAY",100 EA      ,"","DISPOSABLES","DRY NONFOOD"
"27","Unassigned Group","8455008","BOX, CAKE FULL SHEET 26X18.5X4 CLAY COATED PAPERBOARD WHITE 2 PIECE LOCK CO","SOUTHERN CHAMPION TRAY",50 EA       ,"","DISPOSABLES","DRY NONFOOD"
